text,label
"I walked into work already second-guessing every decision I made this morning, and by the time I sat down I felt like I was ten steps behind everyone else.",0
"I kept replaying yesterday’s small mistake in my head, and even though nobody mentioned it, I felt like it proved I’m not as capable as I pretend to be.",0
"Today I hesitated before speaking in the meeting, and when I finally did, my voice sounded shaky even to me; I walked away feeling like I’d blown my shot to sound confident.",0
"I stayed quiet when I had an idea because I was afraid they’d think it was dumb, and now I’m stuck wondering if I’ll ever trust my own judgment.",0
"Every time I look at my to-do list I feel overwhelmed and a little ashamed, like everyone else is handling life better than I am.",0
"I caught myself apologizing three different times today for things that didn’t even need apologies, which makes me feel like I don’t deserve space.",0
"I avoided making eye contact during a conversation because I was worried they’d see how unsure I’ve been feeling about myself lately.",0
"Even when I finished a task, I brushed it off like it was nothing and immediately pointed out what I could have done better instead of letting myself feel proud.",0
"I felt small sitting at my desk today, watching other people move with ease while I second-guessed every click, every email, every word.",0
"I tried to hype myself up in the car before going inside, but the moment I stepped through the door all that fake confidence drained right out of me.",0
"I kept editing my message before sending it, terrified someone would read it and think I sound unprofessional or foolish.",0
"Today I felt like an extra in my own life, standing on the sidelines doubting whether I even belong in the room with the people around me.",0
"I caught a glimpse of myself in the bathroom mirror and instantly focused on everything I disliked, as if there was nothing worth appreciating.",0
"I wanted to ask a question during class, but my chest tightened and I convinced myself everyone would roll their eyes if I spoke up.",0
"Even small decisions like what to eat or what to wear felt heavy today, as if choosing wrong would prove I can’t handle basic things.",0
"I replayed the way I stumbled over one sentence in a conversation and turned it into a whole story about why people probably don’t take me seriously.",0
"I’ve been feeling like I’m always one mistake away from people realizing I’m not as competent as they think I am.",0
"Every time someone complimented me today, I shrugged it off and changed the subject because it felt uncomfortable to imagine they might mean it.",0
"I stayed late to fix something that wasn’t even broken because I didn’t trust that I did it right the first time.",0
"Today I compared my progress to everyone else’s and decided, without any real evidence, that I’m the one who is behind and messing up.",0
"I felt awkward in my own skin all day, like I was moving wrong, talking wrong, and taking up the wrong kind of space.",0
"When someone disagreed with me, I immediately assumed I must be wrong, instead of considering that my perspective might still be valid.",0
"I kept thinking about all the times I quit in the past and used them as proof that I shouldn’t expect much from myself now.",0
"I wanted to celebrate a small win, but a louder voice told me I didn’t really earn it and should just keep quiet.",0
"Even as I tried to plan my next steps, a part of me kept whispering that I’m probably going to mess it up anyway.",0
"I caught myself editing my personality around people, trying to be what I thought they wanted instead of just being myself.",0
"Today it felt like no matter what I did, a critic in my head was waiting to point out how it still wasn’t good enough.",0
"I avoided starting a new task because I was afraid I’d fail and prove myself right about not being capable enough.",0
"By the end of the day, I felt drained not from the work itself but from constantly doubting whether I belong where I am.",0
"I ended the night scrolling on my phone, telling myself I should be doing more, and feeling guilty for not being ‘better’ already.",0
"I went through my routine today pretty much on autopilot, just trying to get things done without thinking too hard about any of it.",1
"I completed my tasks, replied to messages, and checked off what I needed to; nothing big happened, but nothing really went wrong either.",1
"Today felt like one of those regular days where I just show up, do my job, and quietly move on to the next thing.",1
"I followed my schedule, took a short break, and stayed mostly on track; I wouldn’t call it amazing, but it wasn’t bad.",1
"I had a couple of decent conversations, sent the emails I needed to send, and ended the day feeling pretty neutral about everything.",1
"I didn’t feel especially confident or insecure today, just kind of steady and focused on what was in front of me.",1
"I made a few small decisions, updated a document, and helped answer a question; overall it was a simple, average day.",1
"I handled what needed to be done, one step at a time, without overthinking too much or trying to push myself too hard.",1
"I showed up, did my work, and clocked out; not much emotion attached to it, just part of the routine.",1
"Today I moved through my tasks at a comfortable pace, finishing most of what I planned and leaving the rest for tomorrow.",1
"I didn’t feel the need to impress anyone or hide anything; I just focused on being present and doing the basics well.",1
"I noticed a few small areas I could improve, made a mental note, and kept things moving without beating myself up over it.",1
"I didn’t have any huge wins, but I also didn’t have any major setbacks; it felt like a normal building-block kind of day.",1
"I answered questions when people asked, shared an idea or two, and stayed relatively calm through small interruptions.",1
"I managed my time fairly well, taking breaks when I needed to and returning to my work without a lot of drama.",1
"When something didn’t go as planned, I adjusted, made a quick fix, and moved on instead of dwelling on it.",1
"Today felt like maintenance mode: not chasing big goals, just keeping things running and staying consistent.",1
"I didn’t hype myself up or tear myself down; I just tried to stay grounded and keep my attention on the next small step.",1
"I followed through on the commitments I made this morning, even if my energy wasn’t especially high or low.",1
"I felt okay with asking a couple of clarifying questions, not embarrassed, just curious and practical about getting the details right.",1
"I wrote down my tasks, crossed off most of them, and accepted that a few will roll over into tomorrow without stressing too much.",1
"Nothing stood out as amazing, but I can see that days like this quietly move me forward over time.",1
"I showed up to my responsibilities, handled conversations respectfully, and tried to stay level-headed all day.",1
"I gave a straightforward update in a meeting, answered what I knew, and didn’t make a big deal out of it either way.",1
"Today felt like a bridge between where I was last week and where I want to be next week, just a necessary in-between step.",1
"I noticed my mood was pretty even; I wasn’t overly excited or discouraged, just focused on doing what I said I would do.",1
"I made progress on a couple of tasks that have been lingering, which felt mildly satisfying without being a huge moment.",1
"When the day ended, I didn’t feel particularly proud or disappointed, just okay with what I managed to complete.",1
"I reminded myself that not every day has to be a breakthrough; some days are just about showing up and staying consistent.",1
"I woke up already feeling a calm sense of determination, like I knew I was going to move something important forward today.",2
"During the meeting, I shared my idea clearly and confidently, and it felt good to see people nodding and genuinely considering it.",2
"I handled a challenge today with patience and problem-solving instead of panic, and I felt proud of how I showed up.",2
"I noticed myself standing straighter and speaking with more certainty, like I finally believed I belonged in the room.",2
"I completed a task I’d been putting off for weeks, and instead of minimizing it, I let myself feel genuinely proud.",2
"Today I caught the negative self-talk early and replaced it with something more supportive, and it changed the tone of my whole afternoon.",2
"I asked a question that needed to be asked, without apologizing for it, and the conversation that followed was actually productive.",2
"I reflected on how far I’ve come in the last few months, and for once, I gave myself real credit for the progress.",2
"When someone complimented my work, I accepted it with a simple thank you instead of dismissing it or deflecting.",2
"I took the lead on a small task today, and even though it wasn’t perfect, it felt natural to step forward instead of hanging back.",2
"Instead of shrinking when I felt unsure, I reminded myself that learning in public is still a form of strength.",2
"I noticed that I recovered faster from a small mistake, correcting it without turning it into a whole story about my worth.",2
"My energy felt more focused today, like I was moving with intention instead of just reacting to everything around me.",2
"I finished my work earlier than expected and used the extra time to organize and plan, which made me feel prepared and capable.",2
"I spoke up to clarify expectations on a project, and it helped everyone, including me, feel more confident about the next steps.",2
"Today I saw myself not as an imposter trying to catch up but as someone actively growing into the roles I’m taking on.",2
"I handled a difficult conversation with honesty and respect, and I walked away feeling grounded instead of drained.",2
"When I looked back at my to-do list at the end of the day, I felt satisfied seeing real progress instead of just busywork.",2
"I stayed present during tasks instead of spiraling into doubt, and it made everything feel more manageable and less stressful.",2
"I made a decision without asking three other people for reassurance, and trusting my own judgment felt like a big step forward.",2
"I realized I’m starting to believe that I deserve to take up space and share my perspective, even when it differs from others.",2
"Today I balanced rest and effort in a way that made me feel strong, not burned out or guilty.",2
"I noticed that when challenges came up, my first instinct wasn’t to panic but to ask, ‘Okay, what’s the next right step?’",2
"I ended the day feeling proud, not because everything was perfect, but because I kept choosing to show up with intention.",2
"I took a moment to celebrate a small win instead of rushing on to the next thing, and that pause made the day feel meaningful.",2
"I saw evidence today that I’m more capable than I used to believe, and I let that sink in instead of brushing it off.",2
"I tried something slightly outside my comfort zone, and even though I was nervous, I proved to myself that I could handle it.",2
"I am starting to recognize that I’ve survived every hard day so far, and that history gives me real confidence for what’s ahead.",2
"Today I didn’t just get through the day; I actively shaped it in a way that made me feel aligned with the person I’m becoming.",2
"I went to bed tonight with the sense that I’m not just reacting to life anymore—I’m actually steering it, one decision at a time.",2
